entity,label,source_url
1969,DATE,https://en.wikipedia.org/wiki/Inception
Pfister,PERSON,https://en.wikipedia.org/wiki/Inception
Photo-Sonics,ORG,https://en.wikipedia.org/wiki/Inception
February 2011,DATE,https://en.wikipedia.org/wiki/Inception
Jonathan Liebesman,PERSON,https://en.wikipedia.org/wiki/Inception
Paul Franklin,PERSON,https://en.wikipedia.org/wiki/Inception
Limbo,WORK_OF_ART,https://en.wikipedia.org/wiki/Inception
Franklin,PERSON,https://en.wikipedia.org/wiki/Inception
Gotham City,GPE,https://en.wikipedia.org/wiki/Inception
"Hans Zimmer,[19",PERSON,https://en.wikipedia.org/wiki/Inception
Ennio Morricone,PERSON,https://en.wikipedia.org/wiki/Inception
Johnny Marr,PERSON,https://en.wikipedia.org/wiki/Inception
Smiths,ORG,https://en.wikipedia.org/wiki/Inception
Édith Piaf's,PERSON,https://en.wikipedia.org/wiki/Inception
"No, I Regret Nothing",WORK_OF_ART,https://en.wikipedia.org/wiki/Inception
Zimmer,PERSON,https://en.wikipedia.org/wiki/Inception
"July 11, 2010",DATE,https://en.wikipedia.org/wiki/Inception
Reprise Records.[43,ORG,https://en.wikipedia.org/wiki/Inception
Hans Zimmer's,PERSON,https://en.wikipedia.org/wiki/Inception
an Academy Award,WORK_OF_ART,https://en.wikipedia.org/wiki/Inception
2011,DATE,https://en.wikipedia.org/wiki/Inception
Trent Reznor,PERSON,https://en.wikipedia.org/wiki/Inception
Atticus Ross,PERSON,https://en.wikipedia.org/wiki/Inception
The Social Network.[45,ORG,https://en.wikipedia.org/wiki/Inception
Michel Foucault,PERSON,https://en.wikipedia.org/wiki/Inception
Jean Baudrillard,PERSON,https://en.wikipedia.org/wiki/Inception
Gilles Deleuze,PERSON,https://en.wikipedia.org/wiki/Inception
Félix Guattari.[46,PERSON,https://en.wikipedia.org/wiki/Inception
David Denby,PERSON,https://en.wikipedia.org/wiki/Inception
The New Yorker,ORG,https://en.wikipedia.org/wiki/Inception
Luis Buñuel's,PERSON,https://en.wikipedia.org/wiki/Inception
Belle de Jour,WORK_OF_ART,https://en.wikipedia.org/wiki/Inception
1967,DATE,https://en.wikipedia.org/wiki/Inception
The Discreet Charm of the Bourgeoisie,WORK_OF_ART,https://en.wikipedia.org/wiki/Inception
Buñuel,PERSON,https://en.wikipedia.org/wiki/Inception
Deirdre Barrett,PERSON,https://en.wikipedia.org/wiki/Inception
Harvard University,ORG,https://en.wikipedia.org/wiki/Inception
Wired,ORG,https://en.wikipedia.org/wiki/Inception
Jonah Lehrer,PERSON,https://en.wikipedia.org/wiki/Inception
Paul,PERSON,https://en.wikipedia.org/wiki/Inception
Nolan,ORG,https://en.wikipedia.org/wiki/Inception
Stephanie Dreyfus,PERSON,https://en.wikipedia.org/wiki/Inception
la Croix,ORG,https://en.wikipedia.org/wiki/Inception
"""Mal"" Cobb",PERSON,https://en.wikipedia.org/wiki/Inception
Dom Cobb's,PERSON,https://en.wikipedia.org/wiki/Inception
Dom,PERSON,https://en.wikipedia.org/wiki/Inception
Denby,PERSON,https://en.wikipedia.org/wiki/Inception
Kristin Thompson,PERSON,https://en.wikipedia.org/wiki/Inception
"Jorge Luis Borges,[23][54",PERSON,https://en.wikipedia.org/wiki/Inception
The Secret Miracle,WORK_OF_ART,https://en.wikipedia.org/wiki/Inception
"The Circular Ruins"",[55",WORK_OF_ART,https://en.wikipedia.org/wiki/Inception
Blade Runner,WORK_OF_ART,https://en.wikipedia.org/wiki/Inception
1982,DATE,https://en.wikipedia.org/wiki/Inception
Caine,PERSON,https://en.wikipedia.org/wiki/Inception
2023,DATE,https://en.wikipedia.org/wiki/Inception
Leo,PERSON,https://en.wikipedia.org/wiki/Inception
Mark Fisher,PERSON,https://en.wikipedia.org/wiki/Inception
a century,DATE,https://en.wikipedia.org/wiki/Inception
Sue Kroll,PERSON,https://en.wikipedia.org/wiki/Inception
Warner,ORG,https://en.wikipedia.org/wiki/Inception
Kroll,PERSON,https://en.wikipedia.org/wiki/Inception
summer,DATE,https://en.wikipedia.org/wiki/Inception
a sad day,DATE,https://en.wikipedia.org/wiki/Inception
Interactive Marketing,ORG,https://en.wikipedia.org/wiki/Inception
Michael Tritter,PERSON,https://en.wikipedia.org/wiki/Inception
Chris [Nolan,PERSON,https://en.wikipedia.org/wiki/Inception
August 2009,DATE,https://en.wikipedia.org/wiki/Inception
December,DATE,https://en.wikipedia.org/wiki/Inception
Mind Crime,WORK_OF_ART,https://en.wikipedia.org/wiki/Inception
April 2010,DATE,https://en.wikipedia.org/wiki/Inception
Inception: The Cobol Job.[72,WORK_OF_ART,https://en.wikipedia.org/wiki/Inception
"May 10, 2010",DATE,https://en.wikipedia.org/wiki/Inception
Mind Game,ORG,https://en.wikipedia.org/wiki/Inception
Mind Heist,WORK_OF_ART,https://en.wikipedia.org/wiki/Inception
"Zack Hemsey,[73",PERSON,https://en.wikipedia.org/wiki/Inception
"June 7, 2010",DATE,https://en.wikipedia.org/wiki/Inception
Yahoo! Movies.[78,ORG,https://en.wikipedia.org/wiki/Inception
the 2010s,DATE,https://en.wikipedia.org/wiki/Inception
"December 3, 2010",DATE,https://en.wikipedia.org/wiki/Inception
the week,DATE,https://en.wikipedia.org/wiki/Inception
"December 7, 2010).[81][82",DATE,https://en.wikipedia.org/wiki/Inception
South Korea,GPE,https://en.wikipedia.org/wiki/Inception
the United States,GPE,https://en.wikipedia.org/wiki/Inception
"December 19, 2017.[85",DATE,https://en.wikipedia.org/wiki/Inception
November 2010,DATE,https://en.wikipedia.org/wiki/Inception
"August 12, 2020",DATE,https://en.wikipedia.org/wiki/Inception
August 21,DATE,https://en.wikipedia.org/wiki/Inception
U.S.[88,GPE,https://en.wikipedia.org/wiki/Inception
June 2020,DATE,https://en.wikipedia.org/wiki/Inception
"July 17, 2020",DATE,https://en.wikipedia.org/wiki/Inception
Tenet,WORK_OF_ART,https://en.wikipedia.org/wiki/Inception
July 31,DATE,https://en.wikipedia.org/wiki/Inception
August 12,DATE,https://en.wikipedia.org/wiki/Inception
"July 31,[90",DATE,https://en.wikipedia.org/wiki/Inception
August,DATE,https://en.wikipedia.org/wiki/Inception
"July 16, 2010.[92][93",DATE,https://en.wikipedia.org/wiki/Inception
"July 8, 2010.[94",DATE,https://en.wikipedia.org/wiki/Inception
its opening weekend.[96,DATE,https://en.wikipedia.org/wiki/Inception
opening weekend,DATE,https://en.wikipedia.org/wiki/Inception
Avatar,WORK_OF_ART,https://en.wikipedia.org/wiki/Inception
opening-weekend,DATE,https://en.wikipedia.org/wiki/Inception
fourth week,DATE,https://en.wikipedia.org/wiki/Inception
The Other Guys.[99,WORK_OF_ART,https://en.wikipedia.org/wiki/Inception
Ireland,GPE,https://en.wikipedia.org/wiki/Inception
Malta,GPE,https://en.wikipedia.org/wiki/Inception
US,GPE,https://en.wikipedia.org/wiki/Inception
China,GPE,https://en.wikipedia.org/wiki/Inception
Japan,GPE,https://en.wikipedia.org/wiki/Inception
Toy Story 3,WORK_OF_ART,https://en.wikipedia.org/wiki/Inception
Alice in Wonderland,WORK_OF_ART,https://en.wikipedia.org/wiki/Inception
Harry Potter and the Deathly Hallows,WORK_OF_ART,https://en.wikipedia.org/wiki/Inception
Christopher Nolan's,PERSON,https://en.wikipedia.org/wiki/Inception
The Dark Knight Rises,WORK_OF_ART,https://en.wikipedia.org/wiki/Inception
Rotten Tomatoes,ORG,https://en.wikipedia.org/wiki/Inception
Metacritic,ORG,https://en.wikipedia.org/wiki/Inception
CinemaScore,ORG,https://en.wikipedia.org/wiki/Inception
Peter Travers,PERSON,https://en.wikipedia.org/wiki/Inception
Rolling Stone,ORG,https://en.wikipedia.org/wiki/Inception
Justin Chang,PERSON,https://en.wikipedia.org/wiki/Inception
Variety,ORG,https://en.wikipedia.org/wiki/Inception
Rififi,WORK_OF_ART,https://en.wikipedia.org/wiki/Inception
Jim Vejvoda,PERSON,https://en.wikipedia.org/wiki/Inception
IGN,ORG,https://en.wikipedia.org/wiki/Inception
Relevant,ORG,https://en.wikipedia.org/wiki/Inception
David Roark,PERSON,https://en.wikipedia.org/wiki/Inception
August 2010,DATE,https://en.wikipedia.org/wiki/Inception
Empire,ORG,https://en.wikipedia.org/wiki/Inception
Stanley Kubrick,PERSON,https://en.wikipedia.org/wiki/Inception
William Gibson,PERSON,https://en.wikipedia.org/wiki/Inception
Entertainment Weekly's,ORG,https://en.wikipedia.org/wiki/Inception
Lisa Schwarzbaum,PERSON,https://en.wikipedia.org/wiki/Inception
M. C. Escher,PERSON,https://en.wikipedia.org/wiki/Inception
Roger Ebert,PERSON,https://en.wikipedia.org/wiki/Inception
the Chicago Sun-Times,ORG,https://en.wikipedia.org/wiki/Inception
Richard Roeper,PERSON,https://en.wikipedia.org/wiki/Inception
the Sun-Times,ORG,https://en.wikipedia.org/wiki/Inception
the [21st] century,DATE,https://en.wikipedia.org/wiki/Inception
BBC Radio 5 Live's,ORG,https://en.wikipedia.org/wiki/Inception
Mark Kermode,PERSON,https://en.wikipedia.org/wiki/Inception
Michael Phillips,PERSON,https://en.wikipedia.org/wiki/Inception
the Chicago Tribune,ORG,https://en.wikipedia.org/wiki/Inception
Time,ORG,https://en.wikipedia.org/wiki/Inception
Richard Corliss,PERSON,https://en.wikipedia.org/wiki/Inception
a century old,DATE,https://en.wikipedia.org/wiki/Inception
Kenneth Turan,PERSON,https://en.wikipedia.org/wiki/Inception
the Los Angeles Times,ORG,https://en.wikipedia.org/wiki/Inception
USA Today's,ORG,https://en.wikipedia.org/wiki/Inception
Claudia Puig,PERSON,https://en.wikipedia.org/wiki/Inception
New York magazine's,ORG,https://en.wikipedia.org/wiki/Inception
David Edelstein,PERSON,https://en.wikipedia.org/wiki/Inception
The New York Observer's,ORG,https://en.wikipedia.org/wiki/Inception
Rex Reed,PERSON,https://en.wikipedia.org/wiki/Inception
A. O. Scott,PERSON,https://en.wikipedia.org/wiki/Inception
The New York Times,ORG,https://en.wikipedia.org/wiki/Inception
The New Yorker's,ORG,https://en.wikipedia.org/wiki/Inception
Devin Faraci,PERSON,https://en.wikipedia.org/wiki/Inception
Paprika,WORK_OF_ART,https://en.wikipedia.org/wiki/Inception
Satoshi Kon,PERSON,https://en.wikipedia.org/wiki/Inception
Yasutaka Tsutsui's,PERSON,https://en.wikipedia.org/wiki/Inception
1993,DATE,https://en.wikipedia.org/wiki/Inception
Uncle Scrooge,PERSON,https://en.wikipedia.org/wiki/Inception
The Dream of a Lifetime,WORK_OF_ART,https://en.wikipedia.org/wiki/Inception
Don Rosa.[129][130][131,PERSON,https://en.wikipedia.org/wiki/Inception
Andrei Tarkovsky's,PERSON,https://en.wikipedia.org/wiki/Inception
Solaris,WORK_OF_ART,https://en.wikipedia.org/wiki/Inception
Year-end,DATE,https://en.wikipedia.org/wiki/Inception
The Social Network,WORK_OF_ART,https://en.wikipedia.org/wiki/Inception
True Grit,WORK_OF_ART,https://en.wikipedia.org/wiki/Inception
The King's Speech,WORK_OF_ART,https://en.wikipedia.org/wiki/Inception
Black Swan,WORK_OF_ART,https://en.wikipedia.org/wiki/Inception
Stephen King,PERSON,https://en.wikipedia.org/wiki/Inception
the year.[135,DATE,https://en.wikipedia.org/wiki/Inception
Denis Villeneuve,PERSON,https://en.wikipedia.org/wiki/Inception
2025,DATE,https://en.wikipedia.org/wiki/Inception
The New York Times',ORG,https://en.wikipedia.org/wiki/Inception
The 100 Best Movies of the 21st Century,WORK_OF_ART,https://en.wikipedia.org/wiki/Inception
Readers' Choice,WORK_OF_ART,https://en.wikipedia.org/wiki/Inception
that year,DATE,https://en.wikipedia.org/wiki/Inception
Tasha Robinson,PERSON,https://en.wikipedia.org/wiki/Inception
The A.V. Club,ORG,https://en.wikipedia.org/wiki/Inception
Kirk Honeycutt,PERSON,https://en.wikipedia.org/wiki/Inception
The Hollywood Reporter.[138,ORG,https://en.wikipedia.org/wiki/Inception
Chicago Sun-Times,ORG,https://en.wikipedia.org/wiki/Inception
Los Angeles Times,ORG,https://en.wikipedia.org/wiki/Inception
The Social Network,ORG,https://en.wikipedia.org/wiki/Inception
The Hollywood Reporter,ORG,https://en.wikipedia.org/wiki/Inception
Christy Lemire,PERSON,https://en.wikipedia.org/wiki/Inception
Associated Press,ORG,https://en.wikipedia.org/wiki/Inception
Gregory Ellwood,PERSON,https://en.wikipedia.org/wiki/Inception
HitFix,ORG,https://en.wikipedia.org/wiki/Inception
Lisa Kennedy,PERSON,https://en.wikipedia.org/wiki/Inception
Denver Post,ORG,https://en.wikipedia.org/wiki/Inception
Bill Goodykoontz,PERSON,https://en.wikipedia.org/wiki/Inception
Arizona Republic,ORG,https://en.wikipedia.org/wiki/Inception
Stephen Holden,PERSON,https://en.wikipedia.org/wiki/Inception
Phillip French,PERSON,https://en.wikipedia.org/wiki/Inception
The Observer,ORG,https://en.wikipedia.org/wiki/Inception
FX Feeney,PERSON,https://en.wikipedia.org/wiki/Inception
The Village Voice,ORG,https://en.wikipedia.org/wiki/Inception
Keith Phipps,PERSON,https://en.wikipedia.org/wiki/Inception
Nathan Rabin,PERSON,https://en.wikipedia.org/wiki/Inception
Lou Lumenick,PERSON,https://en.wikipedia.org/wiki/Inception
New York Post,ORG,https://en.wikipedia.org/wiki/Inception
Elizabeth Weitzman,PERSON,https://en.wikipedia.org/wiki/Inception
New York Daily News,GPE,https://en.wikipedia.org/wiki/Inception
Ann Hornaday,PERSON,https://en.wikipedia.org/wiki/Inception
Washington Post,ORG,https://en.wikipedia.org/wiki/Inception
Caryn James,PERSON,https://en.wikipedia.org/wiki/Inception
Indiewire,ORG,https://en.wikipedia.org/wiki/Inception
USA Today,ORG,https://en.wikipedia.org/wiki/Inception
David Germain,PERSON,https://en.wikipedia.org/wiki/Inception
Rene Rodriguez,PERSON,https://en.wikipedia.org/wiki/Inception
Miami Herald,ORG,https://en.wikipedia.org/wiki/Inception
Noel Murray,PERSON,https://en.wikipedia.org/wiki/Inception
Mike Scott,PERSON,https://en.wikipedia.org/wiki/Inception
The Times-Picayune,ORG,https://en.wikipedia.org/wiki/Inception
Drew McWeeny,PERSON,https://en.wikipedia.org/wiki/Inception
J. Hoberman,PERSON,https://en.wikipedia.org/wiki/Inception
Peter Hartlaub,PERSON,https://en.wikipedia.org/wiki/Inception
San Francisco,GPE,https://en.wikipedia.org/wiki/Inception
March 2011,DATE,https://en.wikipedia.org/wiki/Inception
BBC Radio 1,ORG,https://en.wikipedia.org/wiki/Inception
BBC Radio 1Xtra,ORG,https://en.wikipedia.org/wiki/Inception
Roger Corman,PERSON,https://en.wikipedia.org/wiki/Inception
2012,DATE,https://en.wikipedia.org/wiki/Inception
the Motion Picture Editors Guild.[142,ORG,https://en.wikipedia.org/wiki/Inception
the same year,DATE,https://en.wikipedia.org/wiki/Inception
Total Film,ORG,https://en.wikipedia.org/wiki/Inception
2014,DATE,https://en.wikipedia.org/wiki/Inception
The 301 Greatest Movies Of All Time,WORK_OF_ART,https://en.wikipedia.org/wiki/Inception
the turn of the century.[145,DATE,https://en.wikipedia.org/wiki/Inception
Hollywood,ORG,https://en.wikipedia.org/wiki/Inception
Oscar,WORK_OF_ART,https://en.wikipedia.org/wiki/Inception
2016,DATE,https://en.wikipedia.org/wiki/Inception
the 21st Century,DATE,https://en.wikipedia.org/wiki/Inception
BBC,ORG,https://en.wikipedia.org/wiki/Inception
the Visual Effects Society's,ORG,https://en.wikipedia.org/wiki/Inception
The Most Influential Visual Effects Films,WORK_OF_ART,https://en.wikipedia.org/wiki/Inception
2019,DATE,https://en.wikipedia.org/wiki/Inception
the 2010s.[149,DATE,https://en.wikipedia.org/wiki/Inception
the 2010s.[150][151][152][153,DATE,https://en.wikipedia.org/wiki/Inception
Forbes,ORG,https://en.wikipedia.org/wiki/Inception
Top 150 Greatest,WORK_OF_ART,https://en.wikipedia.org/wiki/Inception
21st Century.[154,DATE,https://en.wikipedia.org/wiki/Inception
April 2014,DATE,https://en.wikipedia.org/wiki/Inception
The Daily Telegraph,ORG,https://en.wikipedia.org/wiki/Inception
Telegraph,ORG,https://en.wikipedia.org/wiki/Inception
Tim Robey,PERSON,https://en.wikipedia.org/wiki/Inception
2021,DATE,https://en.wikipedia.org/wiki/Inception
Writers Guild of America West,ORG,https://en.wikipedia.org/wiki/Inception
WGAW,ORG,https://en.wikipedia.org/wiki/Inception
"Writers Guild of America, East",ORG,https://en.wikipedia.org/wiki/Inception
WGAE,ORG,https://en.wikipedia.org/wiki/Inception
WGA,ORG,https://en.wikipedia.org/wiki/Inception
National Film Registry,ORG,https://en.wikipedia.org/wiki/Inception
Academy Awards for,WORK_OF_ART,https://en.wikipedia.org/wiki/Inception
"Best Visual Effects,[45",WORK_OF_ART,https://en.wikipedia.org/wiki/Inception
the British Academy Film Awards,WORK_OF_ART,https://en.wikipedia.org/wiki/Inception
Best Production Design,WORK_OF_ART,https://en.wikipedia.org/wiki/Inception
Best Special Visual Effects,WORK_OF_ART,https://en.wikipedia.org/wiki/Inception
BAFTAs,WORK_OF_ART,https://en.wikipedia.org/wiki/Inception
Golden Globes,WORK_OF_ART,https://en.wikipedia.org/wiki/Inception
The King's Speech.[45][160][161,WORK_OF_ART,https://en.wikipedia.org/wiki/Inception
the 2011 Bradbury Award,WORK_OF_ART,https://en.wikipedia.org/wiki/Inception
Best Dramatic Presentation (Long Form).[163,WORK_OF_ART,https://en.wikipedia.org/wiki/Inception
Common,ORG,https://en.wikipedia.org/wiki/Inception
Blue Sky,WORK_OF_ART,https://en.wikipedia.org/wiki/Inception
N.E.R.D.,ORG,https://en.wikipedia.org/wiki/Inception
Hypnotize U,WORK_OF_ART,https://en.wikipedia.org/wiki/Inception
XV,ORG,https://en.wikipedia.org/wiki/Inception
The Kick,WORK_OF_ART,https://en.wikipedia.org/wiki/Inception
Black Eyed Peas',ORG,https://en.wikipedia.org/wiki/Inception
Just Can't Get Enough,WORK_OF_ART,https://en.wikipedia.org/wiki/Inception
Lil Wayne's,PERSON,https://en.wikipedia.org/wiki/Inception
Jennifer Lopez's,PERSON,https://en.wikipedia.org/wiki/Inception
On the Floor,WORK_OF_ART,https://en.wikipedia.org/wiki/Inception
B.o,ORG,https://en.wikipedia.org/wiki/Inception
.,ORG,https://en.wikipedia.org/wiki/Inception
B,ORG,https://en.wikipedia.org/wiki/Inception
Strange Clouds,WORK_OF_ART,https://en.wikipedia.org/wiki/Inception
T.I.,WORK_OF_ART,https://en.wikipedia.org/wiki/Inception
Joe Budden,PERSON,https://en.wikipedia.org/wiki/Inception
South Park,WORK_OF_ART,https://en.wikipedia.org/wiki/Inception
"Insheeption"".[165",WORK_OF_ART,https://en.wikipedia.org/wiki/Inception
Ariana Grande's,PERSON,https://en.wikipedia.org/wiki/Inception
"No Tears Left to Cry"".[166",WORK_OF_ART,https://en.wikipedia.org/wiki/Inception
Lawnmower Dog,WORK_OF_ART,https://en.wikipedia.org/wiki/Inception
Rick and Morty,WORK_OF_ART,https://en.wikipedia.org/wiki/Inception
The Simpsons,WORK_OF_ART,https://en.wikipedia.org/wiki/Inception
How I Wet Your Mother,WORK_OF_ART,https://en.wikipedia.org/wiki/Inception
The Flash,WORK_OF_ART,https://en.wikipedia.org/wiki/Inception
season 4,DATE,https://en.wikipedia.org/wiki/Inception
February 2020,DATE,https://en.wikipedia.org/wiki/Inception
Taylor Swift,PERSON,https://en.wikipedia.org/wiki/Inception
The Man,WORK_OF_ART,https://en.wikipedia.org/wiki/Inception
1984,DATE,https://en.wikipedia.org/wiki/Inception
Existenz,WORK_OF_ART,https://en.wikipedia.org/wiki/Inception
The Three Stigmata of Palmer Eldritch,WORK_OF_ART,https://en.wikipedia.org/wiki/Inception
1965,DATE,https://en.wikipedia.org/wiki/Inception
AFI Catalog of Feature Films,ORG,https://en.wikipedia.org/wiki/Inception
"December 25, 2025",DATE,https://en.wikipedia.org/wiki/Inception
British Board of Film Classification,ORG,https://en.wikipedia.org/wiki/Inception
"June 29, 2010",DATE,https://en.wikipedia.org/wiki/Inception
"February 28, 2014",DATE,https://en.wikipedia.org/wiki/Inception
"August 8, 2010",DATE,https://en.wikipedia.org/wiki/Inception
Film: Inception,WORK_OF_ART,https://en.wikipedia.org/wiki/Inception
Lumiere,ORG,https://en.wikipedia.org/wiki/Inception
"June 23, 2018",DATE,https://en.wikipedia.org/wiki/Inception
"November 7, 2017",DATE,https://en.wikipedia.org/wiki/Inception
Box Office,ORG,https://en.wikipedia.org/wiki/Inception
Mojo,ORG,https://en.wikipedia.org/wiki/Inception
IMDb,ORG,https://en.wikipedia.org/wiki/Inception
"July 7, 2022",DATE,https://en.wikipedia.org/wiki/Inception
Dietz,PERSON,https://en.wikipedia.org/wiki/Inception
Jason,PERSON,https://en.wikipedia.org/wiki/Inception
"November 18, 2019",DATE,https://en.wikipedia.org/wiki/Inception
The Best Movies of the Decade,WORK_OF_ART,https://en.wikipedia.org/wiki/Inception
According to Film Critics,WORK_OF_ART,https://en.wikipedia.org/wiki/Inception
"January 1, 2020",DATE,https://en.wikipedia.org/wiki/Inception
"January 26, 2020",DATE,https://en.wikipedia.org/wiki/Inception
"June 23, 2025",DATE,https://en.wikipedia.org/wiki/Inception
Weintraub,PERSON,https://en.wikipedia.org/wiki/Inception
Steve,PERSON,https://en.wikipedia.org/wiki/Inception
"March 25, 2010",DATE,https://en.wikipedia.org/wiki/Inception
"""Christopher Nolan and Emma Thomas Interview",WORK_OF_ART,https://en.wikipedia.org/wiki/Inception
"March 27, 2010",DATE,https://en.wikipedia.org/wiki/Inception
"April 6, 2010",DATE,https://en.wikipedia.org/wiki/Inception
Masters,PERSON,https://en.wikipedia.org/wiki/Inception
Kim,PERSON,https://en.wikipedia.org/wiki/Inception
"November 10, 2010",DATE,https://en.wikipedia.org/wiki/Inception
The A-List Directors,WORK_OF_ART,https://en.wikipedia.org/wiki/Inception
"April 17, 2020",DATE,https://en.wikipedia.org/wiki/Inception
Sharf,PERSON,https://en.wikipedia.org/wiki/Inception
Zack,PERSON,https://en.wikipedia.org/wiki/Inception
"June 15, 2025",DATE,https://en.wikipedia.org/wiki/Inception
"June 16, 2025",DATE,https://en.wikipedia.org/wiki/Inception
Burnetts,PERSON,https://en.wikipedia.org/wiki/Inception
Charles,PERSON,https://en.wikipedia.org/wiki/Inception
2015,DATE,https://en.wikipedia.org/wiki/Inception
Dream Space,WORK_OF_ART,https://en.wikipedia.org/wiki/Inception
Jones,PERSON,https://en.wikipedia.org/wiki/Inception
Matthew,PERSON,https://en.wikipedia.org/wiki/Inception
Omrod,PERSON,https://en.wikipedia.org/wiki/Inception
